	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_C	param_penalty	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score
0	0.0012848377227783203	0.0002058842929434211	0.0	0.0	0.1	l1	{'C': 0.1, 'penalty': 'l1'}													20												
1	0.4346902370452881	0.04140009344052945	0.0030914068222045897	0.003179436432063993	0.1	l2	{'C': 0.1, 'penalty': 'l2'}	0.337509211495947	0.3164311682830201	0.3136820413508867	0.37324514820998644	0.3669482530242024	0.3167808037373255	0.3685592185592186	0.3597896396638536	0.3366975153467529	0.309045399918728	0.33986883995899214	0.02408544901642464	10	0.3931456811096572	0.3983031172459577	0.3981176897286847	0.39445504994969416	0.40348430682847164	0.403299234828114	0.39824665045028923	0.3929365799137628	0.4135031539415441	0.3888858183337313	0.3984377282329906	0.006645264582944631
2	0.001312112808227539	0.00026127990006807357	0.0	0.0	1	l1	{'C': 1, 'penalty': 'l1'}													17												
3	1.0960114479064942	0.0954737400905807	0.0025154829025268556	0.0004338155088316315	1	l2	{'C': 1, 'penalty': 'l2'}	0.5832832471851584	0.605700745123822	0.6390393123112736	0.6880884185497224	0.618504951838285	0.7182569898730686	0.6990289112543984	0.6685793603952173	0.5802158667543283	0.6862551960951226	0.6486952999380398	0.04748856384638992	9	0.8841217813738699	0.8802630913729161	0.8855549238127198	0.8871223099361039	0.8817769849360801	0.885714659666641	0.8884989154626908	0.8933412168909907	0.8908712524228263	0.891414349761108	0.8868679485635947	0.004018230380234945
4	0.0018728971481323242	0.0008488085438715005	0.0	0.0	10	l1	{'C': 10, 'penalty': 'l1'}													14												
5	1.8696794271469117	0.21344905406224213	0.0019404172897338867	0.0005116060185352676	10	l2	{'C': 10, 'penalty': 'l2'}	0.6447437762428959	0.7016727561311201	0.7088584680590994	0.7151582660354592	0.6922028995691896	0.7586583780915765	0.7017819861949418	0.700095488557027	0.6651674816699447	0.6888880350418811	0.6977227535593136	0.028555209920046256	1	0.9933550558514547	0.9943084086418014	0.9943070300026547	0.9952568848345985	0.9943128706898864	0.9962103756458595	0.9943127778175582	0.995260929131897	0.9952544851542295	0.9933612590633463	0.9945940076833286	0.0008549729975900662
6	0.0021000146865844727	0.0011274083518248812	0.0	0.0	20	l1	{'C': 20, 'penalty': 'l1'}													19												
7	2.0053050756454467	0.1682395344047498	0.003105497360229492	0.001248234728198029	20	l2	{'C': 20, 'penalty': 'l2'}	0.6440358164833204	0.7196149461539821	0.6878365687315254	0.7151582660354592	0.6928733483476156	0.7660597965387516	0.6772017941523233	0.7050423588238713	0.6566560492647449	0.6934571768659249	0.6957936121397519	0.03255594739096046	2	0.9962078708847064	0.9971539780918512	0.9962051322479416	0.9971550056526542	0.9952616091124543	0.9971539734035989	0.9952615222290657	0.9981038398149085	0.9981010002596571	0.9962051199868053	0.9966809051683644	0.0009705317078275194
8	0.00183258056640625	0.0010926355113929183	0.0	0.0	100	l1	{'C': 100, 'penalty': 'l1'}													11												
9	2.363943672180176	0.4045368596363276	0.003103327751159668	0.001073352510186973	100	l2	{'C': 100, 'penalty': 'l2'}	0.6440358164833204	0.6640409730833559	0.7016341116837396	0.7241156849980758	0.7035393381547228	0.7757374904269717	0.6779075571528401	0.7113827724726799	0.638923357861411	0.6755365178262375	0.6916853620143354	0.03874674447606602	3	0.9990499630995354	1.0	1.0	0.9990508644628187	0.9990508678660628	0.9990508690584855	0.9990508690584855	1.0	0.9990508690584855	0.9990508690584855	0.999335517166236	0.00043500620693801657
10	0.0023977994918823243	0.0012200427851395122	0.0	0.0	200	l1	{'C': 200, 'penalty': 'l1'}													13												
11	2.2301747798919678	0.27274924692515073	0.0027242183685302736	0.0009390596470326087	200	l2	{'C': 200, 'penalty': 'l2'}	0.6450910426614892	0.6516814242451425	0.7016341116837396	0.7145989353436162	0.7035393381547228	0.7757374904269717	0.686032486032486	0.722723815895206	0.6381847781847781	0.6755365178262375	0.6914759940454389	0.039646730069654544	4	0.9990499630995354	1.0	1.0	0.9990508644628187	0.9990508678660628	0.9990508690584855	0.9990508690584855	1.0	0.9990508690584855	0.9990508690584855	0.999335517166236	0.00043500620693801657
12	0.0022281646728515626	0.0009693059921822934	0.0	0.0	1000	l1	{'C': 1000, 'penalty': 'l1'}													15												
13	1.8501138925552367	0.17688048788079766	0.002195310592651367	0.0004825012781032699	1000	l2	{'C': 1000, 'penalty': 'l2'}	0.6369775831831394	0.635556153547158	0.7016341116837396	0.6977838644505311	0.7121793943175951	0.7767019750634447	0.6775633198710121	0.722723815895206	0.6741772386023311	0.6758924440548372	0.6911189900668995	0.039551218538753555	5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
14	0.0018676042556762696	0.00048728224663427286	0.0	0.0	2000	l1	{'C': 2000, 'penalty': 'l1'}													16												
15	1.9658063173294067	0.22843676141625746	0.002016711235046387	0.00043925103133224614	2000	l2	{'C': 2000, 'penalty': 'l2'}	0.6215224115759352	0.635556153547158	0.6932441883898195	0.707145555769409	0.7121793943175951	0.7685258946430744	0.6859664190172664	0.722723815895206	0.6651530374203448	0.6845119977914988	0.6896528868367306	0.04043445533227713	6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
16	0.0016815662384033203	0.0003139286864278814	0.0	0.0	10000.0	l1	{'C': 10000.0, 'penalty': 'l1'}													18												
17	1.9448209762573243	0.15789146632347004	0.0024169445037841796	0.0005784974194876167	10000.0	l2	{'C': 10000.0, 'penalty': 'l2'}	0.6306274159976212	0.6443721570889126	0.6605829522460616	0.6983961832559964	0.7079600711179658	0.7685101390983744	0.6694887317848621	0.722723815895206	0.6738011443893798	0.6932284440037063	0.6869691054878085	0.038342914960065026	7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
18	0.002483510971069336	0.0013765191971652178	0.0	0.0	100000.0	l1	{'C': 100000.0, 'penalty': 'l1'}													12												
19	2.216662335395813	0.24721946494317687	0.0023940563201904296	0.0006343566820626606	100000.0	l2	{'C': 100000.0, 'penalty': 'l2'}	0.6382511399460552	0.6368022229003115	0.6520191014724942	0.6985844355495117	0.7237601492942817	0.7516219765152213	0.6752349818589135	0.7074777770266493	0.6729602907380685	0.7037973026098369	0.6860509377911345	0.035790291477088496	8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
